time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_error,stiffness,dotproduct
0.4452667,-0.3620135,1.151865,-0.2468122,-0.3152217,1.155186,-0.2632449,-0.1335477,0.06969319,0.01924809,-0.1598565,0.1333391,-0.005295543,0,0,0,0.7325275,-9.267472,0.009368151,255,0.02849385
0.4730759,-0.3638179,1.153084,-0.2455602,-0.3179371,1.15762,-0.2626303,-0.0704354,0.04399291,0.02636297,-0.08656164,0.07718037,0.01527076,0,0,0,0.6979208,-9.302079,0.008005333,255,0.03104443
0.4941254,-0.3647014,1.153701,-0.2447252,-0.319479,1.158852,-0.2623514,-0.05478523,0.03701934,0.03801106,-0.08244476,0.0738939,0.01865988,0,0,0,0.6182277,-9.381772,0.007004687,255,0.02824756
0.5111389,-0.3656616,1.154349,-0.243681,-0.3212127,1.160125,-0.262104,-0.05676892,0.03962929,0.05365349,-0.09906939,0.07914369,0.01791896,0,0,0,0.5594654,-9.440535,0.006817176,255,0.02503671
0.5321579,-0.3664476,1.154872,-0.2427,-0.3228005,1.161326,-0.2619097,-0.05710321,0.03854498,0.06209591,-0.1031027,0.07574297,0.01471401,0,0,0,0.4623697,-9.53763,0.006922836,255,0.01502798
0.5525742,-0.3674356,1.155572,-0.2412931,-0.3251004,1.163094,-0.2617625,-0.03518293,0.02344284,0.04391329,-0.07107694,0.05373762,0.008698343,0,0,0,0.3889232,-9.611076,0.00730105,255,0.007223935
0.5771255,-0.3681668,1.156169,-0.2402673,-0.3273352,1.164648,-0.2620132,-0.04984904,0.03531563,0.07098008,-0.1160343,0.08922128,0.007424581,0,0,0,0.2854894,-9.714511,0.008171407,255,-0.005688456
0.5981369,-0.3691195,1.157114,-0.2393703,-0.3300925,1.166674,-0.2627136,-0.02946079,0.02405472,0.04133204,-0.09004669,0.06258646,-0.01010125,0,0,0,0.3066106,-9.69339,0.008945464,255,-0.01168077
0.6218338,-0.3700004,1.158247,-0.2388883,-0.3321416,1.168422,-0.2632501,-0.04491907,0.04451439,0.04229429,-0.1300008,0.09553732,-0.03302046,0,0,0,0.3401941,-9.659806,0.009650138,255,-0.01642905
0.6429367,-0.3709642,1.159781,-0.2385426,-0.3342026,1.17057,-0.2638391,-0.03827012,0.0492418,0.02093864,-0.08902288,0.075955,-0.02330803,0,0,0,0.3854074,-9.614593,0.01003808,255,-0.02128969
